,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,temp_v,humdy_v,cloud_v,wind_v
367,rikitea,PF,92,09/28/2018,100,-23.12,-134.97,71.88,4.83,xkcd:orange,#0000FF,#E5E5FF,xkcd:violet
368,palana,RU,32,09/28/2018,75,59.08,159.95,50.55,5.61,xkcd:yellow green,#4C4CFF,#4C4CFF,xkcd:indigo blue
369,svetlaya,RU,0,09/28/2018,95,46.54,138.33,57.66,5.28,xkcd:yellow green,#1919FF,#0000FF,xkcd:indigo blue
370,yima,CN,0,09/28/2018,67,34.75,111.87,53.07,3.38,xkcd:yellow green,#6666FF,#0000FF,xkcd:violet
371,amnat charoen,TH,88,09/28/2018,97,15.86,104.63,75.21,8.52,xkcd:orange,#1919FF,#CCCCFF,xkcd:indigo blue
372,qidong,CN,0,09/28/2018,85,31.81,121.66,74.31,18.03,xkcd:orange,#3333FF,#0000FF,xkcd:green
373,tautira,PF,20,09/28/2018,58,-17.73,-149.15,82.4,16.11,xkcd:reddish orange,#7F7FFF,#1919FF,xkcd:green
374,murgab,TM,0,09/28/2018,50,37.5,61.97,55.4,7.4,xkcd:yellow green,#9999FF,#0000FF,xkcd:indigo blue
375,kalabo,ZM,20,09/28/2018,53,-15,22.67,66.57,2.71,xkcd:yellow,#7F7FFF,#1919FF,xkcd:violet
376,abbeville,US,1,09/28/2018,100,29.97,-92.13,78.08,5.73,xkcd:orange,#0000FF,#0000FF,xkcd:indigo blue
377,sayat,TM,0,09/28/2018,50,38.78,63.88,53.6,4.7,xkcd:yellow green,#9999FF,#0000FF,xkcd:violet
378,esperance,AU,44,09/28/2018,73,-33.86,121.89,53.43,14.9,xkcd:yellow green,#4C4CFF,#6666FF,xkcd:blue
379,norman wells,CA,75,09/28/2018,59,65.28,-126.83,37.4,10.29,xkcd:green,#7F7FFF,#B2B2FF,xkcd:blue
380,texarkana,US,90,09/28/2018,87,33.44,-94.04,64.04,5.82,xkcd:yellow,#3333FF,#CCCCFF,xkcd:indigo blue
381,lerwick,GB,88,09/28/2018,70,60.15,-1.15,51.8,31.09,xkcd:yellow green,#6666FF,#CCCCFF,xkcd:orange
382,lokoja,NG,76,09/28/2018,100,7.8,6.74,72.96,3.38,xkcd:orange,#0000FF,#B2B2FF,xkcd:violet
383,naryan-mar,RU,92,09/28/2018,99,67.67,53.09,39.93,4.72,xkcd:green,#1919FF,#E5E5FF,xkcd:violet
384,jumla,NP,0,09/28/2018,83,29.28,82.18,34.71,2.93,xkcd:green,#3333FF,#0000FF,xkcd:violet
385,vakhrushev,RU,0,09/28/2018,83,48.99,142.86,54.51,3.94,xkcd:yellow green,#3333FF,#0000FF,xkcd:violet
